id_venta,fecha_venta,id_empleado,antiguedad_vendedor,id_cliente,nombre_cliente,email_cliente,genero_cliente,edad_cliente,ciudad_cliente,region_cliente,canal_venta,producto,categoria_producto,precio_unitario,cantidad,descuento_pct
51,2023-01-14,5,5,287,Juan Pérez,correo@,,-5,Santiago,Biobío,Web,Perfume,Electrohogar,15000,100,-0.2
52,2023-08-30,86,10,259,Juan Pérez,user@gmail.com,Mujer,,Antofagasta,Araucanía,Web,,Electrohogar,750000,3,0.05
53,2023-09-22,47,50,246,Ana Rojas,sin_email,Hombre,18,Temuco,Araucanía,Tienda,Perfume,Electrohogar,35000,2,0.5
54,2023-12-12,34,5,136,Ana Rojas,correo@,Hombre,45,Temuco,Biobío,App,,Tecnología,15000,1,-0.2
55,2023-02-22,65,50,280,María González,correo@,,18,Valparaíso,Metropolitana,App,Maquillaje,Belleza,-1000,0,0
56,2023-12-06,55,5,271,Carlos Soto,sin_email,,18,Santiago,Metropolitana,Tienda,Notebook,,35000,-1,0.5
57,2023-04-02,90,1,171,,sin_email,Hombre,60,Temuco,Antofagasta,Tienda,Maquillaje,,700000,1,0.5
58,2023-09-21,43,5,159,Juan Pérez,cliente@mail.cl,,25,Temuco,,Tienda,Maquillaje,Belleza,35000,1,0.05
59,2023-02-04,74,1,201,,correo@,X,,Antofagasta,Antofagasta,Tienda,Lavadora,Belleza,35000,3,0.05
60,2023-07-25,30,0,487,Luis Díaz,user@gmail.com,Mujer,-5,Valparaíso,Antofagasta,Web,Notebook,Belleza,700000,2,0.1
61,2023-03-22,82,50,45,Luis Díaz,sin_email,,,Talca,,Tienda,Notebook,Electrohogar,99999999,100,0.1
62,2023-02-19,17,10,450,Carlos Soto,user@gmail.com,Otro,25,Valparaíso,,Web,Lavadora,,700000,100,0
63,2023-12-26,26,5,264,Ana Rojas,correo@,,35,Antofagasta,Araucanía,,Maquillaje,Electrohogar,35000,3,0.5
64,2023-01-02,8,1,71,Ana Rojas,correo@,Hombre,60,Temuco,Metropolitana,Web,Lavadora,Tecnología,700000,2,
65,2023-02-23,47,2,364,Ana Rojas,,Mujer,60,Valparaíso,,Web,Perfume,Electrohogar,99999999,3,0
66,2023-04-16,76,50,371,María González,cliente@mail.cl,X,25,Talca,Biobío,Web,Notebook,,15000,100,0
67,2023-09-17,91,5,103,Ana Rojas,cliente@mail.cl,Hombre,150,Valparaíso,Araucanía,App,Maquillaje,Belleza,700000,1,
68,2023-11-06,72,-1,490,María González,user@gmail.com,X,60,Talca,Biobío,Tienda,Maquillaje,Belleza,700000,0,
69,2023-07-10,89,0,125,Carlos Soto,sin_email,Otro,,Santiago,Araucanía,Web,Maquillaje,,35000,2,
70,2023-08-06,46,0,313,Ana Rojas,cliente@mail.cl,Mujer,25,Temuco,Antofagasta,CallCenter,Perfume,Tecnología,15000,-1,0.05
71,2023-02-13,68,2,464,Ana Rojas,user@gmail.com,Otro,60,Santiago,Biobío,Tienda,Maquillaje,Electrohogar,750000,-1,0
72,2023-06-11,33,1,483,Carlos Soto,user@gmail.com,Hombre,18,Antofagasta,Biobío,CallCenter,,,750000,1,0
73,2023-07-21,1,5,286,María González,user@gmail.com,Otro,25,Santiago,,Web,Perfume,,-1000,3,-0.2
74,2023-09-27,19,50,458,María González,cliente@mail.cl,Hombre,25,Santiago,Metropolitana,App,Perfume,Belleza,700000,3,
75,2023-12-17,31,1,230,,sin_email,Hombre,,Valparaíso,Biobío,App,Perfume,Belleza,700000,100,
76,2023-10-31,80,0,146,Juan Pérez,sin_email,X,45,Temuco,,CallCenter,Lavadora,,15000,1,0.1
77,2023-09-28,14,1,370,María González,user@gmail.com,Hombre,60,Antofagasta,Antofagasta,,Perfume,,99999999,100,0.1
78,2023-08-03,53,0,197,Ana Rojas,correo@,X,60,Santiago,Biobío,CallCenter,Maquillaje,Belleza,750000,100,0.5
79,2023-09-09,48,1,373,Ana Rojas,sin_email,Otro,25,Temuco,Metropolitana,CallCenter,Perfume,Belleza,-1000,-1,0.1
80,2023-07-09,69,2,221,Carlos Soto,cliente@mail.cl,Hombre,18,Valparaíso,Biobío,Tienda,Maquillaje,Tecnología,15000,100,1.5
81,2023-10-23,90,10,423,Ana Rojas,user@gmail.com,Hombre,18,Valparaíso,Araucanía,CallCenter,Perfume,Electrohogar,700000,100,0.5
82,2023-08-01,62,2,60,Luis Díaz,cliente@mail.cl,Hombre,-5,Talca,Araucanía,Tienda,Lavadora,Tecnología,750000,-1,
83,2023-07-27,92,2,98,,cliente@mail.cl,,18,Antofagasta,Antofagasta,CallCenter,Notebook,,-1000,3,-0.2
84,2023-08-25,66,10,171,Carlos Soto,sin_email,,60,Talca,,CallCenter,Notebook,Belleza,35000,2,0.1
85,2023-12-04,64,10,382,María González,correo@,Hombre,150,Talca,Antofagasta,CallCenter,Perfume,Electrohogar,750000,0,-0.2
86,2023-02-22,70,5,173,Juan Pérez,,X,45,,Antofagasta,CallCenter,Lavadora,Tecnología,-1000,100,0.1
87,2023-10-07,63,50,151,Luis Díaz,cliente@mail.cl,,25,Temuco,,CallCenter,Maquillaje,Belleza,15000,2,0.1
88,2023-08-05,73,50,453,Carlos Soto,cliente@mail.cl,,35,Santiago,Biobío,Tienda,Lavadora,,35000,-1,-0.2
89,2023-09-09,33,5,350,Ana Rojas,correo@,X,45,Temuco,Metropolitana,Web,Maquillaje,Tecnología,-1000,2,0
90,2023-07-07,41,2,390,María González,cliente@mail.cl,Mujer,,Valparaíso,Araucanía,CallCenter,Maquillaje,Belleza,-1000,0,0
91,2023-02-10,89,2,440,Luis Díaz,cliente@mail.cl,,,Temuco,Biobío,CallCenter,Maquillaje,Electrohogar,700000,2,0
92,2023-06-06,48,0,122,Juan Pérez,user@gmail.com,Hombre,150,Talca,Metropolitana,CallCenter,Maquillaje,Electrohogar,99999999,2,1.5
93,2023-01-15,13,0,494,,user@gmail.com,,35,Santiago,Araucanía,,Perfume,,750000,2,0
94,2023-10-28,73,50,108,Luis Díaz,user@gmail.com,Otro,45,Talca,Biobío,Tienda,Maquillaje,Tecnología,700000,2,0.1
95,2023-03-06,77,5,4,María González,user@gmail.com,,18,Temuco,Metropolitana,,Lavadora,,35000,1,
96,2023-12-11,31,-1,93,Juan Pérez,correo@,Hombre,60,Valparaíso,Antofagasta,Web,Lavadora,Tecnología,99999999,100,0.05
97,2023-11-23,75,-1,407,,user@gmail.com,,150,Valparaíso,Antofagasta,CallCenter,Maquillaje,Electrohogar,-1000,-1,-0.2
98,2023-01-09,68,5,6,,cliente@mail.cl,X,35,Talca,Araucanía,App,,,700000,0,
99,2023-12-10,98,0,288,Carlos Soto,sin_email,,150,Temuco,Biobío,Web,Notebook,Tecnología,99999999,-1,0.05
100,2023-05-09,4,50,106,María González,sin_email,Otro,45,Temuco,Antofagasta,Web,Notebook,Belleza,750000,1,
101,2023-05-16,19,50,146,Juan Pérez,sin_email,Hombre,60,Temuco,,Tienda,Perfume,Tecnología,35000,1,1.5
102,2023-03-04,70,0,271,Carlos Soto,correo@,X,150,Santiago,,Web,Lavadora,Belleza,15000,1,0.05
103,2023-05-19,98,-1,424,Carlos Soto,cliente@mail.cl,Mujer,35,Talca,Antofagasta,Web,Notebook,Tecnología,700000,100,0.5
104,2023-03-22,82,1,378,Carlos Soto,sin_email,,25,,Biobío,App,Notebook,,35000,1,0
105,2023-06-12,13,1,96,Carlos Soto,,,45,Antofagasta,Metropolitana,Web,Notebook,,15000,2,1.5
106,2023-10-16,23,0,457,Ana Rojas,cliente@mail.cl,Hombre,25,Temuco,Metropolitana,App,Notebook,Belleza,700000,-1,
107,2023-09-18,83,1,229,Juan Pérez,user@gmail.com,Mujer,18,Antofagasta,,App,Lavadora,Tecnología,35000,3,0.1
108,2023-08-19,75,10,202,Ana Rojas,correo@,Otro,25,Temuco,,Tienda,Notebook,,35000,0,0
109,2023-02-10,1,5,212,Carlos Soto,user@gmail.com,X,25,Antofagasta,Araucanía,CallCenter,Maquillaje,,99999999,1,0
110,2023-01-28,88,5,6,Carlos Soto,sin_email,Hombre,-5,Temuco,Biobío,CallCenter,Notebook,Electrohogar,700000,-1,0.05
111,2023-05-15,54,0,112,María González,user@gmail.com,,45,,Araucanía,Web,Notebook,,35000,1,0.5
112,2023-07-20,71,2,376,Juan Pérez,correo@,Mujer,18,Antofagasta,Biobío,Web,Notebook,Tecnología,-1000,100,0
113,2023-11-24,89,-1,379,Ana Rojas,sin_email,Otro,25,Talca,Antofagasta,,Lavadora,Belleza,700000,1,
114,2023-09-25,85,0,447,Ana Rojas,,Mujer,,Santiago,Biobío,,Notebook,Belleza,35000,1,
115,2023-02-02,15,1,323,,sin_email,X,60,Santiago,,Tienda,,,99999999,1,-0.2
116,2023-02-17,65,-1,106,Juan Pérez,sin_email,Hombre,35,Santiago,Biobío,Tienda,,,15000,1,-0.2
117,2023-03-03,76,2,139,,cliente@mail.cl,Hombre,25,Talca,,CallCenter,Perfume,Belleza,15000,0,0
118,2023-08-04,71,1,299,Ana Rojas,sin_email,Otro,18,Santiago,Biobío,Tienda,Perfume,Tecnología,-1000,-1,0.05
119,2023-10-20,15,50,401,Ana Rojas,cliente@mail.cl,Hombre,25,Santiago,Araucanía,App,Maquillaje,,700000,100,0.05
120,2023-04-09,21,10,96,María González,cliente@mail.cl,Hombre,35,Antofagasta,Metropolitana,Tienda,Notebook,Belleza,99999999,1,0.1
121,2023-06-21,19,1,388,Carlos Soto,user@gmail.com,X,18,Temuco,Biobío,Web,Perfume,Belleza,35000,1,1.5
122,2023-12-26,60,10,447,Juan Pérez,correo@,,45,Talca,Antofagasta,Web,,Electrohogar,35000,1,1.5
123,2023-08-02,93,-1,452,Carlos Soto,correo@,X,18,Santiago,Biobío,Tienda,Lavadora,Electrohogar,15000,1,1.5
124,2023-02-04,89,10,337,Carlos Soto,,,45,Temuco,Antofagasta,Web,Maquillaje,Electrohogar,99999999,2,0.5
125,2023-08-15,33,-1,297,Carlos Soto,correo@,Mujer,18,Antofagasta,,Web,Maquillaje,,-1000,2,0.05
126,2023-04-11,49,-1,467,María González,cliente@mail.cl,Otro,,Santiago,Biobío,Web,Lavadora,Belleza,15000,3,0.1
127,2023-05-11,96,-1,389,Carlos Soto,user@gmail.com,Otro,150,Talca,Biobío,CallCenter,,Tecnología,15000,1,-0.2
128,2023-09-14,35,-1,416,María González,cliente@mail.cl,Mujer,35,Santiago,Araucanía,,Lavadora,Tecnología,-1000,3,
129,2023-01-05,44,-1,214,María González,user@gmail.com,X,35,Talca,,Web,Maquillaje,,700000,0,1.5
130,2023-08-06,90,1,454,María González,,,18,,Araucanía,CallCenter,Notebook,,35000,3,-0.2
131,2023-09-12,11,-1,291,María González,sin_email,Mujer,150,Talca,Antofagasta,App,Lavadora,Belleza,700000,-1,-0.2
132,2023-12-25,99,1,22,,user@gmail.com,Hombre,25,Valparaíso,,CallCenter,Notebook,Belleza,99999999,2,0
133,2023-10-10,72,-1,193,Ana Rojas,user@gmail.com,Hombre,35,Talca,Araucanía,CallCenter,,Belleza,750000,2,0.5
134,2023-07-26,78,10,468,,correo@,Mujer,,Santiago,Metropolitana,App,Perfume,,750000,1,0.1
135,2023-01-15,74,50,150,Luis Díaz,,X,45,,Araucanía,Tienda,,Belleza,750000,1,0.5
136,2023-12-12,66,-1,368,Ana Rojas,correo@,,45,Temuco,Araucanía,CallCenter,Notebook,Belleza,-1000,0,0
137,2023-02-11,46,2,247,María González,correo@,Otro,60,Antofagasta,Antofagasta,App,Lavadora,Belleza,15000,100,0.1
138,2023-06-28,9,-1,267,Ana Rojas,sin_email,Mujer,-5,Antofagasta,Antofagasta,App,Maquillaje,Tecnología,700000,0,0.1
139,2023-03-04,3,-1,461,María González,user@gmail.com,,150,Temuco,Metropolitana,,Lavadora,,35000,-1,0.05
140,2023-12-18,85,10,251,Luis Díaz,,,-5,Temuco,Biobío,CallCenter,Maquillaje,Tecnología,750000,1,0.5
141,2023-08-19,26,5,490,Juan Pérez,correo@,Hombre,-5,Talca,Antofagasta,,Perfume,Electrohogar,700000,1,0.5
142,2023-08-29,72,10,3,Juan Pérez,sin_email,Hombre,45,Temuco,,Web,Perfume,Tecnología,750000,0,0.05
143,2023-02-21,48,2,393,Ana Rojas,correo@,,,Temuco,,Tienda,Lavadora,Electrohogar,750000,0,-0.2
144,2023-04-06,66,5,316,Juan Pérez,cliente@mail.cl,X,,Antofagasta,,Web,Maquillaje,Tecnología,35000,0,0
145,2023-08-10,70,0,76,Carlos Soto,correo@,Hombre,60,Antofagasta,Araucanía,Tienda,,Electrohogar,99999999,2,0.5
146,2023-08-19,28,0,87,Juan Pérez,correo@,Hombre,-5,,Biobío,CallCenter,Maquillaje,,99999999,3,0.05
147,2023-08-25,93,2,270,María González,correo@,X,-5,Santiago,Araucanía,Web,Perfume,Belleza,99999999,3,
148,2023-05-23,26,10,225,Juan Pérez,,Otro,18,Valparaíso,Araucanía,CallCenter,Lavadora,Tecnología,-1000,1,0.1
149,2023-06-20,25,1,18,Juan Pérez,cliente@mail.cl,,18,Talca,Biobío,App,Perfume,Belleza,15000,2,1.5
150,2023-01-29,12,2,113,Juan Pérez,correo@,,18,Antofagasta,,,Lavadora,Tecnología,-1000,0,
151,2023-02-05,5,50,251,Juan Pérez,sin_email,,25,Talca,,CallCenter,Lavadora,Tecnología,700000,1,0.05
152,2023-01-13,98,5,233,Ana Rojas,,Hombre,-5,Valparaíso,Antofagasta,Web,Lavadora,Electrohogar,-1000,2,1.5
153,2023-06-09,48,5,329,Ana Rojas,,Otro,,Antofagasta,Metropolitana,Tienda,Lavadora,Electrohogar,700000,-1,-0.2
154,2023-11-23,37,-1,279,,correo@,,,Antofagasta,Araucanía,App,Perfume,Tecnología,700000,100,0
155,2023-07-06,79,0,202,Carlos Soto,cliente@mail.cl,Otro,25,Santiago,Metropolitana,,Lavadora,,15000,2,1.5
156,2023-08-31,44,5,83,,cliente@mail.cl,,,Temuco,Metropolitana,Tienda,Maquillaje,Electrohogar,35000,1,-0.2
157,2023-03-27,15,2,125,María González,correo@,Otro,60,Valparaíso,Araucanía,,Notebook,,15000,3,1.5
158,2023-10-11,43,5,175,Juan Pérez,user@gmail.com,,150,Antofagasta,Biobío,App,,Tecnología,99999999,0,0.1
159,2023-03-07,48,2,69,Ana Rojas,sin_email,Hombre,45,Santiago,Biobío,App,Lavadora,,99999999,100,0.1
160,2023-06-19,87,1,47,Juan Pérez,,,-5,,,App,Lavadora,,-1000,-1,0.1
161,2023-02-14,70,-1,372,,correo@,Mujer,,Temuco,Biobío,App,Maquillaje,Tecnología,700000,100,0.1
162,2023-03-03,46,0,256,Juan Pérez,correo@,Otro,45,Valparaíso,Biobío,CallCenter,Notebook,Belleza,750000,100,0.05
163,2023-05-14,43,5,215,Luis Díaz,correo@,,,Antofagasta,,Tienda,Perfume,Belleza,750000,2,0.1
164,2023-10-11,21,2,30,Carlos Soto,,Mujer,150,Talca,Araucanía,CallCenter,Lavadora,,700000,1,
165,2023-01-28,23,10,281,Carlos Soto,cliente@mail.cl,,18,Antofagasta,Metropolitana,App,Notebook,Electrohogar,15000,1,0.1
166,2023-04-18,80,0,412,Juan Pérez,sin_email,Otro,-5,Valparaíso,Metropolitana,CallCenter,Notebook,Belleza,35000,100,
167,2023-02-13,47,1,482,Carlos Soto,user@gmail.com,,35,Valparaíso,,CallCenter,Perfume,Electrohogar,15000,0,0.05
168,2023-12-06,15,2,237,Ana Rojas,,Hombre,25,Temuco,,Web,Lavadora,Belleza,700000,1,0.1
169,2023-10-13,25,50,248,Carlos Soto,,X,25,Temuco,Araucanía,Web,Lavadora,,700000,100,-0.2
170,2023-11-27,36,50,368,Ana Rojas,sin_email,,-5,Valparaíso,Antofagasta,CallCenter,Perfume,Electrohogar,35000,1,-0.2
171,2023-05-08,75,-1,495,Juan Pérez,cliente@mail.cl,Otro,150,Talca,Araucanía,App,Lavadora,Tecnología,-1000,0,0.5
172,2023-12-14,51,-1,25,Carlos Soto,cliente@mail.cl,,18,Antofagasta,Metropolitana,CallCenter,Maquillaje,Belleza,-1000,-1,-0.2
173,2023-08-19,15,1,74,Ana Rojas,correo@,,25,Talca,Araucanía,,Notebook,,35000,100,0
174,2023-07-09,68,1,206,Carlos Soto,cliente@mail.cl,Mujer,18,Valparaíso,Metropolitana,App,Perfume,,-1000,3,0
175,2023-08-13,21,-1,490,Ana Rojas,cliente@mail.cl,,60,Talca,Metropolitana,CallCenter,Lavadora,Tecnología,750000,3,0
176,2023-10-10,13,5,494,Juan Pérez,sin_email,Hombre,45,Talca,Metropolitana,App,Maquillaje,Belleza,-1000,100,0.05
177,2023-05-01,86,5,314,Luis Díaz,cliente@mail.cl,,150,Antofagasta,Araucanía,App,Maquillaje,Electrohogar,-1000,2,-0.2
178,2023-04-26,19,2,94,Ana Rojas,sin_email,X,35,Antofagasta,Metropolitana,CallCenter,Notebook,Belleza,-1000,-1,
179,2023-08-21,34,10,375,Carlos Soto,correo@,Mujer,45,Santiago,Antofagasta,Tienda,Maquillaje,Electrohogar,750000,2,0
180,2023-09-16,78,2,127,María González,user@gmail.com,X,45,Santiago,Metropolitana,App,,Electrohogar,-1000,3,0.5
181,2023-12-25,68,10,425,Carlos Soto,user@gmail.com,,60,Talca,Biobío,App,Notebook,Belleza,99999999,0,0.05
182,2023-07-17,52,1,25,Carlos Soto,sin_email,Mujer,25,Talca,Araucanía,Tienda,Maquillaje,,750000,100,0.5
183,2023-05-17,27,0,334,,correo@,Mujer,35,,Metropolitana,Tienda,Notebook,Belleza,35000,1,-0.2
184,2023-11-14,29,2,355,Luis Díaz,user@gmail.com,Hombre,25,Talca,Metropolitana,App,Lavadora,Tecnología,15000,3,0.1
185,2023-06-14,28,2,116,María González,correo@,X,-5,,,Web,,Tecnología,35000,-1,0.5
186,2023-08-13,35,10,48,Ana Rojas,correo@,,45,Antofagasta,Antofagasta,,Notebook,Electrohogar,15000,3,0.1
187,2023-11-03,8,1,226,Juan Pérez,user@gmail.com,,-5,,,Tienda,,Tecnología,35000,-1,0.05
188,2023-08-22,16,1,266,Juan Pérez,correo@,Otro,18,Temuco,Metropolitana,Tienda,Lavadora,Tecnología,99999999,-1,0.5
189,2023-06-21,36,50,99,Carlos Soto,cliente@mail.cl,,45,,,CallCenter,Perfume,,15000,100,0.5
190,2023-06-01,30,10,459,Luis Díaz,user@gmail.com,,25,Talca,,App,Perfume,Belleza,15000,-1,1.5
191,2023-11-11,18,1,11,Carlos Soto,correo@,Otro,45,Santiago,,,Maquillaje,,700000,2,0.05
192,2023-06-09,2,-1,85,Luis Díaz,,Mujer,18,Antofagasta,Araucanía,App,Maquillaje,Electrohogar,15000,0,0.05
193,2023-04-06,49,5,405,Juan Pérez,cliente@mail.cl,,60,,Antofagasta,,Lavadora,,15000,3,0
194,2023-08-21,77,50,214,Juan Pérez,user@gmail.com,,-5,Talca,Metropolitana,App,Lavadora,Electrohogar,700000,0,-0.2
195,2023-06-29,4,-1,173,Juan Pérez,user@gmail.com,Otro,,Talca,Biobío,,Notebook,Electrohogar,-1000,1,0.5
196,2023-04-23,90,0,391,Luis Díaz,user@gmail.com,,-5,Temuco,Metropolitana,App,Notebook,,-1000,3,0.5
197,2023-11-14,89,2,209,Juan Pérez,,Hombre,25,Santiago,Araucanía,App,,Belleza,700000,0,
198,2023-02-21,94,50,448,María González,correo@,Mujer,45,Valparaíso,Antofagasta,Tienda,Perfume,Belleza,750000,0,0.05
199,2023-09-25,75,0,382,Carlos Soto,cliente@mail.cl,X,25,Santiago,,App,Lavadora,Electrohogar,15000,100,0.05
200,2023-10-22,7,2,64,María González,cliente@mail.cl,Otro,60,Valparaíso,,Tienda,Maquillaje,,15000,100,-0.2
201,2023-04-23,95,5,258,,correo@,X,45,Talca,Metropolitana,,Lavadora,Tecnología,700000,1,0.05
202,2023-04-11,74,1,332,Juan Pérez,user@gmail.com,Hombre,,Talca,,CallCenter,Perfume,Belleza,700000,-1,0.1
203,2023-04-23,39,-1,121,Carlos Soto,user@gmail.com,Hombre,45,Santiago,,Web,Maquillaje,Belleza,750000,3,0.1
204,2023-03-22,13,10,298,Carlos Soto,sin_email,,,Valparaíso,Antofagasta,Web,Perfume,Electrohogar,99999999,100,1.5
205,2023-07-06,31,-1,466,Juan Pérez,sin_email,Hombre,25,Antofagasta,Biobío,Web,Perfume,Tecnología,-1000,3,0.1
206,2023-04-23,71,5,54,María González,,Hombre,25,Santiago,Araucanía,CallCenter,Notebook,Tecnología,35000,1,0.1
207,2023-01-02,63,0,331,María González,sin_email,Otro,18,Antofagasta,,Tienda,Perfume,,99999999,100,-0.2
208,2023-05-10,56,10,272,Luis Díaz,user@gmail.com,Hombre,150,Talca,Araucanía,CallCenter,,Electrohogar,-1000,100,0.5
209,2023-08-08,42,1,241,Juan Pérez,sin_email,,150,Talca,,App,Perfume,Belleza,15000,-1,0.1
210,2023-02-23,61,5,243,Juan Pérez,correo@,X,60,Antofagasta,Metropolitana,,Perfume,Electrohogar,99999999,3,1.5
211,2023-12-09,42,10,18,,,,150,Antofagasta,Biobío,Web,Perfume,Electrohogar,700000,3,0.05
212,2023-08-12,56,5,483,,cliente@mail.cl,X,18,Santiago,Biobío,App,,Tecnología,750000,3,0.1
